movieId	Count
50944	1
1	1
178947	8
153350	3
178951	6
178949	3
1287	1
178955	11
109576	1
140046	22
60684	1
72204	1
178959	2
107535	1
2318	1
178957	4
76816	4
1298	1
60436	1
6934	1
160533	2
138010	9
153114	1
97817	6
159259	11
92696	4
134427	2
30747	2
129309	2
149790	6
130332	3
140319	1
157212	2
134433	97
1059	1
119844	2
154917	3
26153	11
553	1
170283	1
139048	1
110897	1
162356	1
103741	7
119615	3
149570	3
5952	1
32836	8
131140	2
144718	2
333	1
145743	1
149586	1
1360	2
57942	1
858	2
1372	1
90460	1
356	1
2662	1
86377	1
2920	1
78701	1
26480	1
2160	1
150387	1
135280	1
3186	1
1148	1
147839	6
177285	1
73868	2
135055	3
110223	1
166285	2
161936	32
104085	2
2710	1
117142	2
2712	1
143515	5
3226	1
116897	1
98464	1
77990	1
95145	1
115624	1
141483	2
1196	1
97709	1
143791	15
1197	1
97455	1
139952	12
151989	7
3000	1
105144	3
1210	1
106173	1
180161	2
135623	1
149700	11
66246	1
139976	211
98251	1
5067	1
139982	240
149711	5
145100	1
133837	8
139986	341
8402	5
123091	7
1234	1
115669	2
107477	2
139988	3
91862	2
139994	313
106970	5
2011	1
50909	3
6365	1
91104	1
1250	1
140006	283
86504	1
750	1
179181	1
153584	3
142586	1
162808	3
MovieId	Count
